SMILES,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,EState_VSA2,HeavyAtomCount,Kappa1,Kappa2,Kappa3,LabuteASA,MolLogP,PEOE_VSA14,Predcited_Energy,DFT_Energy
[Se](c1ccccc1)C(=O)C,2.674,217.959,7.397,5.703,7.416,4.788,3.023,4.736,1.907,4.53,19.638,10,7.516,3.547,2.338,66.603,0.563,66.15,52.0675,52.16782222
[Se](C(C)C)c1ccc([Se]C)cc1,2.647,226.099,8.975,7.703,11.129,5.72,4.028,8.443,2.842,8.149,0,12,10.341,5.089,3.327,87.452,1.222,87.589,56.8227,56.72234956
[Se](CC#CC(C)=C)CC#CC(C)=C,3.508,269.487,10.104,8.237,9.95,6.126,3.992,6.414,2.657,4.725,0,13,12.119,7.752,11.119,87.653,2.686,87.429,65.5492,65.44942063
[Se-][n+]1ccccc1,3.021,138.008,5.113,3.742,5.455,3.394,2.032,2.798,1.235,2.12,0,7,4.819,2.102,1.298,51.008,-0.094,50.407,33.6619,33.56189891
[Se](C(Cl)C(Cl)Cl)/C=C/Cl,3.376,92.568,7.276,4.23,8.966,4.181,2.011,5.735,1.084,5.764,19.232,9,10.419,6.15,5.844,80.638,2.769,80.982,27.209,27.10946892
[Se](/C=C\c1ccccc1)C=C,2.568,236.31,7.941,6.234,7.947,5.432,3.412,5.39,2.016,3.858,0,11,8.317,4.948,3.218,73.793,2.505,73.456,56.3682,56.40729242
[Se](CC#C)CC#C,2.768,88.329,5.536,3.977,5.69,3.414,1.862,4.284,0.901,2.969,0,7,6.639,5.639,5.639,50.843,0.794,50.283,24.0392,23.91285198
[Se](CC1OCCOC1)CC1OCCOC1,1.528,148.805,10.347,8.853,10.566,7.449,5.414,7.836,3.673,5.928,0,15,11.834,6.838,4.387,96.747,0.358,96.392,41.8421,41.94196869
[Se](CC1OCCO1)CC1OCCO1,1.52,127.079,8.933,7.439,9.152,6.449,4.491,6.914,2.88,5.135,12.58,13,9.897,5.292,3.2,84.017,0.273,83.55,35.7993,36.07158249
[Se](CC1OCCCO1)CC1OCCCO1,1.528,148.805,10.347,8.853,10.566,7.449,5.491,7.914,3.587,5.842,12.58,15,11.834,6.838,4.387,96.747,1.053,96.392,41.8421,41.94211589
[Se](N)CC,1.975,8,3.414,2.693,4.406,1.914,1.231,3.432,0.455,2.366,0,4,4.479,3.479,2.479,32.937,0.002,32.168,6.1019,6.049637279
[Se](C=CCCl)C=CCCl,3.077,87.231,6.95,4.888,8.113,4.414,2.489,5.536,1.188,3.519,0,9,9.579,8.579,8.579,72.072,2.196,72.02,25.8506,25.89991794
[Se](SC(F)(F)F)SC(F)(F)F,3.437,102.731,9.121,4.493,7.839,4.707,1.875,7.555,1.126,7.597,0,11,11.799,4.155,10.799,70.758,3.027,70.434,29.3429,29.44326016
[Se](CC)/C(C)=C/C#CC,3.644,145.686,7.113,6.193,7.906,4.308,3.027,5.095,1.582,4.75,0,9,8.819,5.947,5.694,63.884,2.056,63.436,38.0657,38.16601407
[Se](CCCC)C=C,2.559,41.445,5.536,4.814,6.527,3.414,2.64,4.84,1.391,3.646,0,7,7.259,6.259,6.259,52.155,2.053,51.595,15.3948,15.41518249
[Se](C(C)C)C(C)C,2.953,33.445,5.862,5.563,7.276,3.126,2.781,4.759,2.234,6.761,0,7,7.519,3.513,6.519,52.845,2.347,52.284,14.6061,14.70650941
[Se](c1ccccc1)C(Cl)=C(Cl)Cl,2.718,277.614,8.975,5.929,9.91,5.698,3.136,5.983,1.949,6.059,19.448,12,10.43,5.16,3.384,92.662,2.859,92.975,65.8137,65.71386122
[Se](CC(C)C)CC(C)C,2.915,49.588,7.276,6.977,8.69,4.126,3.703,6.126,3.325,5.58,0,9,9.519,5.316,8.519,65.574,2.839,65.126,19.5277,19.62760513
[Se](C(F)(F)C(F)(F)C(F)(F)F)CC,4.806,172.212,10.914,6.261,7.974,5.561,3.023,5.091,2.022,4.915,5.319,13,13.029,3.648,2.493,75.638,2.919,74.852,44.6886,44.63950927
[Se]=[P+](CCCC)c1ccccc1,2.54,243.275,8.812,7.364,9.971,5.843,4.34,8.083,2.791,7.286,6.168,12,10.123,5.645,3.189,83.018,2.677,82.829,59.4837,59.32860685
[Se](C(C)(C)C)CC=C,3.239,68.946,6.621,5.9,7.613,3.561,2.809,4.877,2.712,6.587,0,8,8.259,3.317,6.259,58.52,2.513,58.016,22.2659,22.10525359
[Se](/C=C/Cl)/C=C/Cl,2.979,67.759,5.536,3.474,6.699,3.414,1.575,4.425,0.66,2.877,0,7,7.579,6.579,6.579,59.342,2.111,59.178,20.2496,20.32595066
[Se](CC=CCl)CC=CCl,2.913,87.231,6.95,4.888,8.113,4.414,2.497,5.792,1.261,4.02,0,9,9.579,8.579,8.579,72.072,3.032,72.02,25.8342,25.86651781
