SMILES,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,EState_VSA2,HeavyAtomCount,Kappa1,Kappa2,Kappa3,LabuteASA,MolLogP,PEOE_VSA14,Predcited_Energy,DFT_Energy
[Bi]=[Se].[Bi]=[Se].[Se],0,6.855,4,2.119,14.213,2,0.365,16.649,0,0,17.069,5,15.753,26.507,18.788,82.013,-1.904,66.905,10.5251,10.42523731
[Cd+2].[Cd+2].[Se-2].[S-2],0,6,0,2.231,12.833,0,0,0,0,0,85.162,4,29.763,17.239,8.828,83.722,-0.388,54.598,8.5089,8.609194214
[Cs+].[Cs+].[Se-2],0,2.755,0,2.408,16.682,0,0,0,0,0,154.856,3,15.645,9.798,6.623,148.574,-6.373,137.788,9.8552,16.08378644
[Th](=[Se])=[Se],3.266,23.774,2.707,1.316,8.852,1.414,0.408,19.558,0.083,20.744,28.379,3,5.364,4.364,4.364,44.363,-0.762,45.695,10.8459,10.81529664
[W](=[Se])=[Se],3.266,23.774,2.707,1.225,7.584,1.414,0.333,14.177,0.068,15.037,13.27,3,4.727,3.727,3.727,38.647,-0.764,38.902,10.1755,10.07538831
[Dy+3].[Dy+3].[Se-2].[Se-2].[Se-2],0,4.855,0,1.857,11.054,0,0,0,0,0,127.553,5,35.5,24.283,17.927,124.206,-1.142,76.347,7.2408,7.216417689
[Ho+3].[Ho+3].[Se-2].[Se-2].[Se-2],0,4.855,0,1.828,10.836,0,0,0,0,0,126.683,5,35.621,24.335,17.945,123.387,-1.142,75.476,7.1202,7.111846144
[SbH6+3].[SbH6+3].[Se-2].[Se-2].[Se-2],0,4.855,0,1.225,6.364,0,0,0,0,0,100.062,5,41.561,27.051,19.023,98.296,-5.116,48.856,4.643,4.542961569
[se]1n2[se]n3[se]n2[se]n13,3.191,293.813,5.138,3.422,10.274,3.933,1.861,7.989,1.278,13.141,0,8,4.998,1.469,0.449,69.289,-2.819,69.872,67.1289,67.02886754
[Sn](c1ccccc1)(c1ccccc1)c1ccccc1.[Sn](c1ccccc1)(c1ccccc1)c1ccccc1.[Se],0,1172.637,25.832,21.729,29.15,18.899,12.964,21.526,8.946,23.114,17.069,39,29.42,15.884,8.217,257.281,4.025,242.986,265.5436,265.4436091
[Gd+3].[Gd+3].[Se-2].[Se-2].[Se-2],0,4.855,0,1.932,11.608,0,0,0,0,0,131.087,5,35.035,24.084,17.865,127.526,-1.142,79.881,7.5478,7.583257521
[Y+3].[Y+3].[Se-2].[Se-2].[Se-2],0,4.855,0,2.379,13.195,0,0,0,0,0,116.624,5,37.275,25.066,18.205,113.923,-1.147,65.418,8.5201,8.278131616
[Se-2].[Se-2].[Na+].[Na+].[Na+].[Na+].O.O.O.O.O.O.O.O.O,0,20.074,0,9.316,20.743,0,0,0,0,0,201.652,15,313.624,266.666,237.351,197.54,-20.168,118.229,18.1127,18.21242669
[Se](CCN1CCOCC1)CCN1CCOCC1,1.424,174.945,11.761,10.604,12.318,8.449,6.629,9.052,4.52,7.09,0,17,13.783,8.459,5.685,110.769,0.192,110.565,49.0603,49.16055153
[La+3].[La+3].[Se-2].[Se-2].[Se-2],0,4.855,0,2.379,14.77,0,0,0,0,0,122.404,5,36.265,24.616,18.04,119.363,-1.142,71.198,9.3076,9.207606415
[Se]=P(c1ccc(C)cc1)(c1ccc(C)cc1)c1ccc(C)cc1,2.24,726.17,16.449,13.784,16.391,10.997,7.817,11.823,6.116,12.331,0,23,16.467,6.616,3.285,146.352,3.989,146.778,164.1018,164.1763041
[Se](CCCCCCCCCCCC)CCCCCCCCCCCC,2.939,192.141,18.263,17.965,19.678,12.414,11.992,14.414,7.976,10.546,0,25,25.519,24.519,24.519,167.413,9.369,167.859,61.226,61.32609728
[In+3].[In+3].[Se-2].[Se-2].[Se-2],0,4.855,0,2.379,14.11,0,0,0,0,0,102.893,5,40.627,26.611,18.832,100.972,-1.904,51.687,8.9776,8.709777561
[Se-2].[Na+].[Na+].O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O,0,14.711,0,10.408,16.121,0,0,0,0,0,163.802,19,2335.899,2005.901,1799.033,162.483,-19.568,59.115,15.1659,15.26577693
Brc1ccc(N2CP(=[Se])(c3ccccc3)CN(c3ccc(Br)cc3)C2)cc1,1.731,904.236,18.855,14.633,20.412,13.033,8.682,14.644,6.682,15.773,0,27,19.484,8.268,4.439,184.601,5.837,185.994,202.736,202.8359541
[U](=[Se])=[Se],3.266,23.774,2.707,1.316,8.906,1.414,0.408,19.786,0.083,20.987,21.187,3,5.091,4.091,4.091,41.651,-0.762,42.462,10.8729,10.97301664
[Se]=P(c1ccccc1)(c1ccccc1)c1ccccc1,2.272,617.721,13.839,11.016,13.623,9.816,6.585,10.591,4.616,10.831,0,20,13.586,5.935,2.454,127.257,3.064,127.516,139.141,139.240766
[Se]=P(N1CCOCC1)(N1CCOCC1)c1ccccc1,1.947,451.322,13.839,11.61,14.217,9.816,7.136,11.047,5.012,10.952,0,20,14.926,6.846,2.952,127.91,0.907,127.965,106.3633,106.0341627
[Se](CC(N)c1ccccc1)CC(N)c1ccccc1,1.777,427.122,13.502,10.905,12.618,9.271,6.459,8.882,4.572,6.827,12.084,19,14.292,7.464,4.481,120.909,2.927,120.937,100.3237,100.1144613
[Se]=P12c3c4cccc3Oc3c1c(ccc3)Oc1c2c(ccc1)O4.[Se]=P12c3c4cccc3Oc3c1c(ccc3)Oc1c2c(ccc1)O4,0,1958.834,30.363,23.553,28.768,22.53,14.62,22.631,11.448,23.464,0,46,26.127,8.878,3.108,277.792,6.762,279.65,424.6809,424.5805907
[TlH2+].[TlH2+].[Se-2],0,2.755,0,2.408,19.671,0,0,0,0,0,71.666,3,18.281,8.837,4.364,70.529,-2.213,54.598,11.3497,11.44955255
[Se]=P1(c2ccccc2)CN(c2ccc(C)cc2)CN(c2ccc(C)cc2)C1,1.731,894.433,18.855,15.877,18.484,13.033,9.304,13.68,7.4,14.66,0,27,18.567,7.679,4.064,169.596,4.929,170.163,200.309,200.389725
[Se]=P1(c2ccccc2)CN(Cc2ccccc2)CN(Cc2ccccc2)C1,1.589,845.936,18.529,15.446,18.053,13.211,9.375,13.751,7.278,14.538,0,27,18.873,8.691,4.876,169.596,4.304,170.163,190.1097,190.2095537
[Se]=P(c1c(F)c(F)c(F)c(F)c1F)(C)C,3.761,435.585,11.964,7.745,10.353,6.675,3.746,8.645,3.269,12.164,0,15,12.887,4.003,2.171,90.701,2.368,90.279,99.3568,99.43207821
[Se](c1ccc([N+]([O-])=O)cc1)c1ccc([N+]([O-])=O)cc1,2.12,555.131,13.828,9.554,11.268,9.059,5.228,6.942,3.604,6.01,26.332,19,13.197,5.6,3.369,114.075,1.158,113.861,124.8422,124.7423758
[TlH2].[TlH2].[Se],0,2.755,0,2.408,19.671,0,0,0,0,0,71.666,3,18.281,8.837,4.364,70.529,-2.213,54.598,11.3497,11.44955255
[Se]=P(N1CCCCC1)(N1CCCCC1)N1CCCCC1,1.813,292.724,13.839,12.804,15.411,9.816,8.68,12.543,6.556,12.363,0,20,15.715,7.397,3.263,131.991,3.29,132.126,75.7049,75.8048764
[Se](c1c(C(O)=O)cccc1)c1c(C(O)=O)cccc1,2.422,581.348,13.828,9.738,11.451,9.092,5.418,7.131,3.705,5.979,26.084,19,13.334,5.693,3.019,115.41,0.738,115.279,130.2809,130.262768
[Se-2].[K+].[K+].O.O.O.O.O.O.O.O.O,0,12.49,0,6.908,14.868,0,0,0,0,0,169.123,12,272.864,221.045,176.237,165.136,-13.795,102.769,12.6952,12.79531861
[Hf](=[Se])=[Se],3.266,23.774,2.707,1.316,8.335,1.414,0.408,17.364,0.083,18.417,16.99,3,4.909,3.909,3.909,40.061,-0.764,40.574,10.5874,10.47323937
[Ce].[Ce].[Se].[Se].[Se],0,4.855,0,2.225,13.644,0,0,0,0,0,134.701,5,34.603,23.902,17.811,130.921,-1.142,0,8.683,8.583248157
[Er].[Er].[Se].[Se].[Se],0,4.855,0,1.802,10.646,0,0,0,0,0,125.817,5,35.745,24.389,17.962,122.573,-1.142,0,7.0148,7.114966363
[Sm].[Sm].[Se],0,2.755,0,1.225,8.177,0,0,0,0,0,97.845,3,16.379,8.956,5.195,95.177,-0.381,0,5.1295,5.229660447
[Se]=P(CCCCCCCC)(CCCCCCCC)CCCCCCCC,4.045,265.784,19.349,18.705,21.312,12.682,12.253,16.813,8.532,16.866,0,26,26.949,20.678,18.319,174.845,9.169,175.438,77.504,77.4040308
[Se]=P(/C(C(C)(C)C)=C\Sc1ccc(Cl)cc1)(c1ccc(C)cc1)c1ccc(C)cc1,2.196,1026.378,21.941,18.147,22.327,14.102,9.985,15.248,8.605,16.165,5.415,30,23.648,9.64,5.421,197.913,7.689,199.176,230.4998,227.5830966
[Se]=P12c3c4cccc3Oc3c1c(ccc3)Oc1c2c(ccc1)O4,1.883,892.167,15.181,11.776,14.384,11.265,7.31,11.315,5.724,11.732,0,23,12.434,3.909,1.324,139.58,3.381,139.825,195.0784,194.9628722
[Ta](=[Se])=[Se],3.266,23.774,2.707,1.264,7.903,1.414,0.365,15.531,0.075,16.473,14.284,3,4.779,3.779,3.779,39.033,-0.764,39.357,10.3506,10.2594187
[Se](CC(=O)c1ccccc1)CC(=O)c1ccccc1,1.813,497.976,13.502,10.412,12.126,9.271,6.014,8.437,4.071,6.139,26.523,19,13.725,7.028,4.162,118.552,3.293,118.541,114.0549,114.0354238
[Se]=[As](CCCC)(CCCC)c1ccccc1,2.816,319.848,11.856,10.485,14.075,7.726,6.364,14.703,4.379,18.691,0,16,14.359,7.591,4.283,108.822,3.608,109.226,79.0395,79.13939692
[Se](c1cc(C(F)(F)F)cc(C(F)(F)F)c1)C,3.33,346.316,12.56,7.908,9.621,7.142,3.978,6.548,2.946,4.791,10.528,16,13.385,4.295,3.153,93.8,3.102,93.262,81.3379,81.36765597
[Se](CCCc1cc(C)c(O)c(C)c1)CCCc1cc(C)c(O)c(C)c1,1.656,614.453,18.397,15.855,17.568,11.88,9.041,11.464,6.976,9.546,0,25,19.879,9.311,5.797,158.007,5.438,158.332,143.7013,143.8014406
[Se-2].[Se-2].[Se-2].[Ga+3].[Ga+3],0,4.855,0,2.379,12.364,0,0,0,0,0,90.787,5,45.592,28.978,19.892,89.515,-1.904,39.581,8.1046,8.204672142
[Se](CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC,3.004,331.682,26.749,26.45,28.163,18.414,17.992,20.414,12.219,14.789,0,37,37.519,36.519,36.519,243.793,14.05,166.853,99.323,99.42320945
[Pt](Cl)Cl.[Se](C)C.[Se](C)C,0,21.284,8.121,5.889,13.099,4.243,1.872,14.355,0.862,7.571,0,9,17.407,31.699,133.617,87.533,2.95,88.519,15.5982,15.6985899
[Se](C12c3c(cccc3)C(c3c1cccc3)c1c2cccc1)CCCC,1.851,824.402,16.855,14.535,16.248,12.376,9.298,11.366,7.078,9.825,4.313,25,15.436,5.867,2.001,156.004,5.708,156.45,184.06,184.4616112
[Se](CCCCCCCCC)CCCCCCCCC,2.877,128.626,14.021,13.722,15.435,9.414,8.992,11.414,5.855,8.425,0,19,19.519,18.519,18.519,129.224,7.028,129.334,43.4255,43.52556874
[Se](c1c([N+]([O-])=O)cc([N+]([O-])=O)cc1)c1c([N+]([O-])=O)cc([N+]([O-])=O)cc1,2.524,842.483,18.723,11.927,13.64,11.701,6.239,7.952,4.435,6.708,8.924,25,17.906,6.984,3.91,143.381,0.974,143.179,185.9567,185.8562084
[Se]=[P@]1(Nc2c(C)cccc2)O[C@@H](C)CCO1,2.146,424.201,11.596,9.473,12.08,7.59,5.359,9.2,3.962,8.675,6.104,16,12.349,5.033,2.967,103.968,3.078,103.841,98.3628,98.57428159
[Se]([C@@H]1O[C@H](COC(=O)C)[C@@H](OC(=O)C)[C@H](OC(=O)C)[C@H]1OC(=O)C)[C@@H]1O[C@H](COC(=O)C)[C@@H](OC(=O)C)[C@H](OC(=O)C)[C@H]1OC(=O)C,2.689,1113.82,35.585,26.944,28.658,21.886,14.155,16.133,10.271,12.792,0,47,39.378,17.933,12.386,275.289,-1.143,275.876,258.815,258.7153121
[Se]([C@@H]1OC[C@@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1OC(=O)C)[C@@H]1OC[C@@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1OC(=O)C,2.38,820.603,27.861,21.157,22.87,17.277,11.2,13.178,8.131,10.652,13.214,37,30.483,13.702,9.255,218.549,-1.007,218.819,192.6147,192.7147127
BrC(C[Se]CC(Br)COC)COC,3.226,104.317,10.104,7.964,12.849,6.202,4.041,8.295,2.643,7.488,0,13,14.399,9.936,9.698,103.537,2.347,104.017,33.8273,33.82716233
[Se](C([Se]C(N)=N)C)C([Se]C(N)=N)C.Cl.Cl,0,184.816,10.431,8.351,15.123,5.914,3.583,9.252,2.236,14.601,54.728,15,21.372,11.561,15.078,121.762,0.261,97.901,50.9944,51.09435207
[Se](CCCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)CCCC,2.914,456.539,17.673,16.253,17.966,10.57,9.016,11.439,8.609,11.179,10.83,23,20.584,8.582,6.511,149.98,6.261,150.254,112.3853,112.4854844
[Se]=P(C1CCCCC1)(C1CCCCC1)c1ccc(N(C)C)cc1,1.942,517.265,16.286,14.838,17.445,11.12,9.495,13.638,7.704,14.903,0,23,17.782,7.9,3.807,150,5.144,150.385,123.1907,123.0899453
[Se](CC(OC)COc1c2c(ccc1)cccc2)CC(OC)COc1c2c(ccc1)cccc2,1.255,1060.888,22.882,19.107,20.82,16.28,11.127,13.549,7.829,10.085,12.208,33,23.593,12.057,6.274,201.506,6.022,202.157,237.2205,237.3203541
Brc1ccc([Se]c2ccc(Br)cc2)cc1,2.147,390.684,10.673,7.783,12.668,7.237,4.429,7.728,3.01,7.248,0,15,11.406,5.309,3.456,112.504,2.867,113.217,91.0006,91.09745199
[Se](CCCc1ccc(O)cc1)CCCc1ccc(O)cc1,1.519,470.42,14.916,12.164,13.877,10.237,7.374,9.797,5.152,7.722,0,21,15.939,8.76,6.24,132.547,4.204,132.648,110.5148,110.4145795
[Eu+2].[Se-2].[Se-2].[Se-2].[Se-2].[Cr+3].[Cr+3],0,9.651,0,2.827,14.655,0,0,0,0,0,152.374,7,60.389,45.42,36.562,148.539,-1.528,84.099,10.3885,10.28854554
[Se](CC=Cc1ccccc1)CC=Cc1ccccc1,1.65,462.401,13.176,10.905,12.618,9.449,6.459,8.882,4.164,6.419,0,19,13.862,8.526,5.739,121.58,4.954,121.69,107.269,107.3692009
[Se](CCNc1ccccc1)CCNc1ccccc1,1.488,401.321,13.176,11.01,12.723,9.449,6.606,9.028,4.198,6.768,0,19,13.979,8.625,5.82,121.329,3.751,121.357,95.1313,95.19643707
[Se](CCCc1cc(C(C)(C)C)c(O)cc1)CCCC,2.468,379.339,14.303,12.83,14.543,8.948,7.35,9.772,6.171,8.741,5.415,19,16.593,7.968,6.013,124.521,4.963,124.571,92.809,92.70909323
[Se]=P(Cc1ccccc1)(Cc1ccccc1)Cc1ccccc1,1.869,658.538,15.96,13.137,15.745,11.235,7.924,12.485,5.989,13.93,0,23,16.467,7.932,5.046,146.352,5.688,146.778,149.8098,149.9101659
[Se](C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,5.649,337.906,17.707,8.7,10.413,8.707,4.054,5.767,3.28,5.86,0,21,20.539,5.03,3.484,111.162,4.271,110.262,82.1447,82.04452238
IC([Se]C(I)C=Cc1ccccc1)C=Cc1ccccc1,1.832,525.182,14.916,11.402,17.43,10.237,6.64,11.109,4.378,13.562,0,21,17.256,9.823,7.132,160.103,5.64,161.879,122.9702,122.8702289
[Se]1(=O)n2c3c4c(c1c2=O)[Se]c4ccc3,2.442,702.005,9.447,6.812,10.238,6.788,4.107,8.142,3.259,8.135,20.516,14,7.546,2.095,0.58,89.181,-2.043,89.267,151.3231,151.2230036
[Se](CC(OC)CCCC)CC(OC)CCCC,3.615,137.158,12.933,12.036,13.749,8.278,6.912,9.335,4.537,6.793,0,17,17.439,12.885,10.081,113.991,3.938,113.869,43.3619,43.49284543
[Se](C(COCc1ccccc1)COC)CC(OC)COCc1ccccc1,1.666,593.776,19.159,16.212,17.925,13.313,9.181,11.382,6.27,9.067,6.104,27,22.092,13.891,9.519,168.873,3.992,169.188,140.1168,140.0164335
BrC(C[Se]CC(Br)COCc1ccccc1)COCc1ccccc1,1.478,516.924,17.744,14.152,19.037,12.237,8.33,12.584,5.733,10.579,0,25,21.143,13.075,9.93,173.651,5.488,174.801,124.0351,124.1348843
BrC(CCCCCC)C[Se]CC(Br)CCCCCC,3.299,158.132,14.347,12.804,17.689,9.202,8.061,12.315,5.431,10.276,0,19,20.479,15.861,15.685,144.229,6.995,145.165,50.2265,50.32637932
[Se](C(CCCCCC)COC)C(CCCCCC)COC,4.042,179.657,15.761,14.865,16.578,10.278,8.912,10.891,5.989,9.358,0,21,21.439,16.804,13.802,139.451,5.501,139.552,55.2989,55.39894065
[Se](CC(OC)c1ccccc1)CC(OC)c1ccccc1,1.872,453.641,14.916,12.567,14.28,10.347,7.08,9.503,4.808,7.063,12.208,21,16.253,9.011,4.976,133.186,4.303,133.287,107.557,107.4570593
[Se]=[P+](CCc1ncccc1)CCc1ncccc1,1.729,442.162,12.632,10.197,12.805,8.843,6.063,9.991,4.071,9.18,6.168,18,13.549,7.531,4.777,116.514,2.827,116.579,102.8762,102.6360105
[Se](C(c1c2c([nH]c1)cccc2)c1c2c([nH]c1)cccc2)C(c1c2c([nH]c1)cccc2)c1c2c([nH]c1)cccc2,1.374,1790.48,25.761,21.11,22.823,19.348,13.245,15.223,10.055,12.604,24.589,39,22.535,9.09,3.66,231.176,8.195,232.24,385.8172,385.7174802
Brc1ccc(C(=O)C[Se]CC(=O)c2ccc(Br)cc2)cc1,1.834,578.831,15.242,11.014,15.899,10.059,6.213,10.222,4.353,8.252,26.523,21,16.627,8.041,5.186,146.287,4.818,147.214,132.8773,132.5659999
[Se]1[P@@](=[Se])(c2ccccc2)[C@@H](c2ccccc2)C=C1/C=C/c1ccccc1,1.72,976.491,17.822,14.233,18.554,12.755,8.604,15.752,6.192,21.546,0,26,17.995,8.096,3.814,168.585,5.384,169.596,215.787,215.6868172
[Se](c1c(C)[nH]nc1-c1ncccc1)c1c(C)[nH]nc1-c1ncccc1.[Se](c1c(C)[nH]nc1-c1ncccc1)c1c(C)[nH]nc1-c1ncccc1.OC,0,1991.798,36.451,29.079,32.505,25.474,16.134,19.561,11.169,15.452,29.914,52,36.237,17.101,7.991,312.49,2.666,302.092,437.179,437.0787674
[Se]=P(c1c(NNc2ccccc2)cccc1)(c1ccccc1)c1ccccc1.[Se]=P(c1c(NNc2ccccc2)cccc1)(c1ccccc1)c1ccccc1,0,2259.271,38.472,30.65,35.865,27.564,18.326,26.336,12.827,25.188,0,56,39.107,19.139,9.106,345.4,9.006,348.015,493.5883,493.6882102
BrCC([Se]C(COc1c2c(ccc1)cccc2)CBr)COc1c2c(ccc1)cccc2,1.37,1034.579,21.468,17.047,21.932,15.28,10.267,14.488,7.265,11.929,0,31,22.666,11.376,5.839,206.284,7.522,207.77,231.278,231.4049035
[Se](C(COc1c2c(ccc1)cccc2)COC)C(COc1c2c(ccc1)cccc2)COC,1.412,1060.888,22.882,19.107,20.82,16.28,11.127,13.105,7.867,11.236,24.589,33,23.593,12.057,6.274,201.506,6.025,202.157,237.2362,237.3362421
[Mo].[Mo].[Mo].[Mo].[Mo].[Se-2].[Se-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[NH3+]C(C)C.[NH3+]C(C)C.[NH3+]C(C)C.[NH3+]C(C)C,0,126.367,14.309,24.569,38.03,6.928,6.252,6.252,5.575,5.575,254.464,44,428.042,401.191,7428.087,353.358,-4.722,0,58.4087,58.50826495
[Sn](CCCC)(CCCC)CCCC.[Se]c1ccccc1,0,267.71,15.054,13.659,18.226,9.74,8.297,15.208,5.374,14.925,0,20,20.538,15.918,13.518,142.233,5.362,143.172,72.6348,72.73485188
[Se](C(=O)CCCCCCCCCCCCCCCCC)C(=O)CCCCCCCCCCCCCCCCC,3.274,460.28,28.489,26.852,28.565,19.202,17.938,19.651,12.246,14.585,9.363,39,38.859,34.063,33.965,252.116,12.267,175.167,125.9534,125.8535313
[Se]=P1(OCC2(CCC)COC(C)(C)OC2)OCCCO1,1.938,353.773,14.692,12.554,15.161,9.389,7.203,10.962,5.968,10.452,5.415,20,17.109,6.887,4.622,128.646,2.855,128.603,87.9581,87.57228153
[Se](Cc1ccc(OC)cc1)Cc1ccc(OC)cc1,1.812,443.662,13.502,11.258,12.971,9.313,6.152,8.575,4.189,6.257,0,19,13.979,7.223,4.304,120.456,3.108,120.445,103.9529,104.0528659
[Se]=P(c1cc(Cl)ccc1)(c1cc(Cl)ccc1)c1cc(Cl)ccc1,2.318,790.345,16.449,11.918,16.793,10.997,6.884,12.023,5.049,12.573,0,23,17.307,7.157,3.615,158.167,5.024,159.187,176.3992,176.2990187
[Se](CC(OCC)OCC)Cc1ccc(OC)cc1,2.298,307.32,13.217,11.348,13.061,8.796,6.236,8.659,3.703,5.865,6.29,18,15.517,9.398,5.873,115.972,2.717,115.845,76.7286,76.82883797
[Se]=P(c1cc(C)ccc1)(c1cc(C)ccc1)c1cc(C)ccc1,2.318,777.92,16.449,13.784,16.391,10.997,7.817,11.823,6.126,12.342,0,23,16.467,6.616,3.285,146.352,3.989,146.778,174.4596,174.5598468
Brc1ccc([Se]CCc2ccncc2)cc1,1.823,427.445,11.217,8.766,12.066,7.843,5.117,7.978,3.408,6.775,0,16,11.843,6.19,3.746,110.586,2.835,110.901,98.5758,98.5748134
[Se](C(CCC=C(C)C)(C)C=C)C/C=C(/CCC=C(C)C)C,4.222,390.061,16.303,14.96,16.673,9.788,7.988,10.055,6.519,9.78,0,21,20.479,11.101,11.778,139.195,6.913,139.417,97.6458,97.54533809
BrC(OCCCC)C[Se]CC(Br)OCCCC,3.292,145.441,12.933,10.792,15.677,8.202,6.293,10.547,3.806,8.104,10.026,17,18.399,13.822,13.629,128.996,4.603,129.7,45.4526,45.35236717
[Se](C(C(N)c1ccc(O)cc1)C)C(C(N)c1ccc(O)cc1)C,1.988,560.424,16.983,13.386,15.099,10.88,7.627,9.605,5.781,9.472,38.539,23,17.827,7.842,4.723,143.227,3.119,143.358,130.2824,130.3822781
[Se](CC(OC)CCCCCC)CC(OC)CCCCCC,3.642,179.657,15.761,14.865,16.578,10.278,8.912,11.335,5.952,8.207,0,21,21.439,16.804,13.802,139.451,5.498,139.552,55.2589,55.15910137
[Se](CC(OC)(c1ccc(Cl)cc1)C)CC(OC)(c1ccc(Cl)cc1)C,2.072,615.6,18.502,15.014,18.239,11.826,8.03,11.208,6.377,9.317,11.202,25,20.768,8.902,5.228,166.522,5.958,167.243,144.0029,144.0833814
[Se](/C([Si](C)(C)C)=C/Cl)/C=C(/Cl)[Si](C)(C)C,4.643,272.127,12.276,10.319,15.544,6.587,4.924,14.584,5.557,19.299,0,15,16.013,6.084,6.348,112.294,4.606,112.848,70.4721,70.37152423
Br/C(=C(/[Se]/C(CC)=C(/Br)CC)CC)CC,4.816,228.348,11.845,9.993,14.878,7.099,5.529,8.828,3.172,7.583,0,15,15.959,9.038,5.719,117.39,5.544,118.103,61.1409,61.24063778
[Se]=[P+](CCc1occc1)CCc1occc1,1.687,379.578,11.217,8.964,11.572,7.843,5.312,9.241,3.588,8.696,6.168,16,11.853,6.198,3.751,103.664,3.223,103.578,88.821,88.89931726
[Se]=P(CCc1ccccc1)(CCc1ccccc1)CC[Se]C=C,1.957,575.105,16.383,13.564,17.885,11.217,8.092,14.854,5.738,16.326,0,23,18.98,10.501,7.382,154.711,4.839,155.554,134.4997,134.5998598
[Se](CCP(=[Se])(CCc1ccccc1)CCc1ccccc1)CCP(=[Se])(CCc1ccccc1)CCc1ccccc1,1.308,1157.383,28.644,24.151,31.08,20.02,14.897,26.441,11.013,30.249,0,41,33.197,18.186,12.822,270.686,8.7,273.044,265.401,265.5008533
[Se](CCP(CCc1ccccc1)CCc1ccccc1)CCP(CCc1ccccc1)CCc1ccccc1,1.226,955.816,26.799,23.335,26.837,19.348,14.532,20.749,10.238,18.174,15.843,39,30.223,18.578,12.539,246.262,9.462,247.674,222.078,221.9782368
[Se](C/C(=N/Cc1c(O)cccc1)CCCC)C/C(=N/Cc1c(O)cccc1)CCCC,1.965,779.306,22.313,18.887,20.6,15.135,11.294,13.717,7.722,9.79,0,31,25.163,14.827,9.711,193.257,6.601,193.835,180.6064,180.5065808
[Se]([P+](c1ccccc1)(c1ccccc1)c1ccccc1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1,1.76,1274.353,26.384,21.623,25.125,19.338,13.171,21.181,9.313,25.481,14.072,39,25.95,11.837,4.936,238.382,6.509,239.795,284.1735,284.2735654
BrC(CCCCC)C[Se]CC(Br)CCCCC,3.292,137.158,12.933,11.39,16.275,8.202,7.061,11.315,4.724,9.569,0,17,18.479,13.901,13.708,131.499,6.215,132.324,44.3342,44.43447054
[Se](CCCc1cc(OCC)c(O)cc1)CCCC,2.311,339.266,13.217,11.446,13.159,8.774,6.8,9.222,4.305,6.874,5.75,18,15.397,9.294,5.79,116.904,4.064,116.838,83.2073,83.03388881
[Se](CCCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)CCCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,1.977,897.668,28.397,25.855,27.568,16.725,14.041,16.464,14.899,17.468,21.66,37,31.775,11.748,8.79,234.386,9.394,235.382,212.3764,212.4764346
BrC(C[Se]CC(Br)CO)CO,3.127,84.651,8.69,6.042,10.927,5.202,3.279,7.533,2.097,6.942,22.868,11,12.399,8.019,7.75,90.168,1.039,90.536,27.7302,27.5613563
[Se]([Si](c1ccccc1)(c1ccccc1)c1ccccc1)[Si](c1ccccc1)(c1ccccc1)c1ccccc1.[Se]([Si](c1ccccc1)(c1ccccc1)c1ccccc1)[Si](c1ccccc1)(c1ccccc1)c1ccccc1,0,2799.705,52.769,43.458,50.884,38.676,26.745,44.656,19.321,56.458,27.355,78,52.594,24.905,10.505,475.928,8.05,480.297,618.5969,618.4968083
[Se]=P(c1ccc(C=C)cc1)(c1ccccc1)c1ccccc1,2.232,761.846,15.416,12.223,14.83,10.747,7.193,11.198,5.076,11.291,0,22,15.253,6.629,2.808,139.297,3.707,139.668,169.5214,169.6638046
[Se]=P(c1c(/N=N/c2ccccc2)cccc1)(c1ccccc1)c1ccccc1.[Se]=P(c1c(/N=N/c2ccccc2)cccc1)(c1ccccc1)c1ccccc1,0,2352.771,38.472,30.439,35.654,27.564,18.12,26.13,12.609,24.971,0,56,39.107,19.139,9.106,344.154,10.959,346.769,512.0984,511.9981837
[Se]=P(c1cc2c(cc1)cccc2)(c1cc2c(cc1)cccc2)c1cc2c(cc1)cccc2,1.657,1466.729,21.545,17.48,20.087,15.714,10.8,14.805,8.204,14.419,0,32,19.714,7.875,3.259,195.302,6.524,196.231,317.0105,316.9109904
[Se](/C=C/C#Cc1ccccc1)/C=C/C#Cc1ccccc1,1.748,651.893,14.59,11.491,13.204,10.449,6.537,8.515,4.012,5.725,0,21,14.958,9.461,6.507,132.308,3.821,132.53,146.1288,146.02481
